marker	total_umis	positive_bins	maximum_bin_count
CXCL16	976	960	2
CXCR6	14	14	1
CD14	1349	1321	2
CD68	1354	1337	2
LST1	270	267	2
AIF1	967	958	2
TYROBP	1304	1275	3
FCER1G	1152	1133	3
Myeloid marker union	6396	6099	4
