analysis_group	donor_id	n_cells	n_t_cells	cxcr6_positive_all	proliferating_cells	cxcr6_fraction_all	proliferating_fraction_all	cxcr6_positive_t	cxcr6_fraction_t
ICANS onset	ICANS1	31	31	12	4	0.38709677	0.12903226	12	0.38709677
ICANS onset	ICANS2	2002	1908	746	161	0.37262737	0.08041958	743	0.389413
ICANS onset	ICANS3	603	572	323	17	0.53565506	0.028192371	317	0.5541958
ICANS onset	ICANS4	495	463	123	30	0.24848485	0.060606061	121	0.26133909
ICANS onset	ICANS5	1585	1227	511	12	0.32239748	0.0075709779	488	0.39771801
IIH comparator	IIH1	1319	1207	59	1	0.044730857	0.00075815011	59	0.048881524
IIH comparator	IIH2	1117	957	49	1	0.043867502	0.00089525515	48	0.05015674
IIH comparator	IIH3	848	746	96	0	0.11320755	0	96	0.12868633
IIH comparator	IIH4	229	195	23	1	0.10043668	0.0043668122	22	0.11282051
