dataset	contrast	role	family_id	min_cells	n_pairs	n_nonzero	n_increase	n_decrease	n_unchanged	median_change_fraction	median_change_percentage_points	q1_change_fraction	q3_change_fraction	sign_test_p	holm_p	patient_rows_file
GSE197268	D7-CART_minus_IP	principal independent early comparison	early_cxcr6_fraction_three_cohort	25	9	9	7	2	0	0.23626373626373628	23.626373626373628	0.0522875816993464	0.26120981387478853	0.1796875	0.5390625	audit/gse197268_verified_patient_aggregates.tsv
GSE235760	Peak_minus_IP	independent early comparison	early_cxcr6_fraction_three_cohort	25	5	5	4	1	0	0.0136159449741511	1.36159449741511	0.0056940109635524	0.0189762323898832	0.375	0.75	audit/gse235760_verified_patient_aggregates.tsv
GSE162975	T1_minus_T0	independent early replication	early_cxcr6_fraction_three_cohort	25	10	10	4	6	0	-0.00926880659763755	-0.926880659763755	-0.109482038429407	0.0896892127521566	0.75390625	0.75390625	audit/gse162975_verified_contrast_pairs.tsv
GSE162975	T3-or-T4.5_minus_T1	exploratory post-peak comparison	none	25	7	7	1	6	0	-0.156956251295874	-15.6956251295874	-0.300235370210075	-0.0386917191658386	0.125	NA	audit/gse162975_verified_contrast_pairs.tsv
GSE162975	T6-plus_minus_T1	exploratory extended follow-up	none	25	5	5	2	3	0	-0.0160427807486631	-1.60427807486631	-0.13311121688085	0.113526390233008	1	NA	audit/gse162975_verified_contrast_pairs.tsv
GSE273170	D14_minus_D7	supportive post-peak sensitivity comparison	none	10	4	4	1	3	0	-0.147001725625539	-14.7001725625539	-0.19038400565826	-0.0888194495957272	0.625	NA	audit/gse273170_verified_patient_aggregates.tsv
