dataset_id	record_url	file_id	file_role	exact_file_url	retrieval_date_utc	size_bytes	sha256	access_class	terms_url	citation_doi	local_relative_path	retrieval_script	status	notes
GSE125881	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125881	GSE125881_raw.expMatrix.csv.gz	processed_expression_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125881/suppl/GSE125881_raw.expMatrix.csv.gz	2026-09-01T21:04:56Z	114573707	243e6e2dd09158e08dcaecfbf35b23122ac3096c1039355b7590474e76d8c02c	public	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	10.1038/s41467-019-13880-1	data/raw/GSE125881/GSE125881_raw.expMatrix.csv.gz	scripts/fetch_public_data.py	locally_checksum_verified	62167 cell columns; barcode suffixes -1 through -16; specimen mapping is the GEO SOFT field 'id in raw.expmatrix.csv'
GSE125881	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125881	GSE125881_RAW.tar	supplementary_archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125881/suppl/GSE125881_RAW.tar	2026-09-01T21:05:32Z	2048000	769fa5b71b12b7efe433f51164d4370e0af00c20bebc647029cc4fbd9a943487	public	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	10.1038/s41467-019-13880-1	data/raw/GSE125881/GSE125881_RAW.tar	scripts/fetch_public_data.py	locally_checksum_verified	Repository supplementary archive; inspect contents before assigning file roles
GSE125881	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125881	GSE125881_family.soft.gz	repository_metadata	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125881/soft/GSE125881_family.soft.gz	2026-09-01T21:06:08Z	5747	13a3085bc28fb27228ca858ed935d74b936dbd3f5efc376e485f73ef7b62eb1e	public	https://www.ncbi.nlm.nih.gov/geo/info/disclaimer.html	10.1038/s41467-019-13880-1	data/raw/GSE125881/GSE125881_family.soft.gz	scripts/fetch_public_data.py	locally_checksum_verified	Authoritative sample titles and matrix-suffix mapping used for manifest construction
