dataset	contrast	subgroup	cell_definition	role	family_id	min_cells	n_pairs	n_nonzero	n_increase	n_decrease	n_unchanged	median_change_fraction	median_change_percentage_points	q1_change_fraction	q3_change_fraction	sign_test_p	holm_p
GSE197268	D7-CART_minus_IP	Axi-cel	author-QC CAR-positive CD8 T cells	descriptive product stratum	none	25	5	5	5	0	0	0.26120981387478853	26.120981387478853	0.25913294797687864	0.2769668480950025	0.0625	NA
GSE197268	D7-CART_minus_IP	Tisa-cel	author-QC CAR-positive CD8 T cells	descriptive product stratum	none	25	4	4	2	2	0	-0.007292857971591002	-0.7292857971591002	-0.09680076929629701	0.0773428596475848	1	NA
